food,category,meal_type,ramadan_role,hydration_index,smart_swap,measure,grams,calories,protein_g,fat_g,sat_fat_g,carbs_g,fiber_g,sugars_g,sodium_mg,protein_pct,has_incomplete_name,is_extreme_portion
baklava (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,6.0,16.0,8.0,40.0,2.0,40.0,150.0,7.3,False,False
beef_carpaccio (Small Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.0,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Large Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.0,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Small Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.33,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Large Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.33,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.5,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.5,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.6,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.6,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.67,0.0,0.0,60.0,40.0,False,False
beef_carpaccio (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.67,0.0,0.0,60.0,40.0,False,False
beef_tartare (Small Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare (Large Portion),"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare (Small Portion),"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.33,15.33,6.13,2.0,0.0,0.0,60.0,40.5,False,False
beef_tartare (Large Portion),"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.33,15.33,6.13,2.0,0.0,0.0,60.0,40.5,False,False
beef_tartare (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.2,15.2,6.08,2.0,0.0,0.0,60.0,40.3,False,False
beef_tartare (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.2,15.2,6.08,2.0,0.0,0.0,60.0,40.3,False,False
beef_tartare (Small Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare (Large Portion),"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beet_salad (Small Portion),Vegetables,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.2,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad (Large Portion),Vegetables,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.27,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.27,12.0,3.33,2.93,14.93,16.7,False,False
beet_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.27,12.0,3.33,3.02,15.02,16.7,False,False
beet_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.3,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.3,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.2,2.0,0.32,12.0,3.2,3.04,15.04,16.0,False,False
beet_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.2,2.0,0.32,12.0,3.2,2.99,14.99,16.0,False,False
beet_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.33,12.0,3.0,3.0,15.0,16.7,False,False
beet_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.31,12.0,3.0,3.0,15.0,16.7,False,False
beignets (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.71,20.0,10.0,50.0,1.43,40.0,150.0,5.7,False,False
beignets (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.71,20.0,10.0,50.0,1.43,40.0,150.0,5.7,False,False
beignets (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.83,20.0,10.0,50.0,1.67,40.0,150.0,5.8,False,False
beignets (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.83,20.0,10.0,50.0,1.67,40.0,150.0,5.8,False,False
beignets (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
bibimbap (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.75,5.0,400.0,13.3,False,False
bibimbap (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.75,5.0,400.0,13.3,False,False
bibimbap (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.6,5.0,400.0,13.3,False,False
bibimbap (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.6,5.0,400.0,13.3,False,False
bibimbap (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.71,5.0,400.0,13.3,False,False
bibimbap (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.71,5.0,400.0,13.3,False,False
bread_pudding (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.07,35.33,2.0,35.33,150.0,9.6,False,False
bread_pudding (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,4.98,35.33,2.0,35.33,150.0,9.6,False,False
bread_pudding (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding (Small Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,6.0,10.0,4.96,35.2,2.0,35.2,150.0,9.6,False,False
bread_pudding (Large Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,6.0,10.0,5.01,35.2,2.0,35.2,150.0,9.6,False,False
bread_pudding (Small Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding (Large Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
breakfast_burrito (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.6,20.0,2.5,5.0,400.0,20.0,False,False
breakfast_burrito (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.6,20.0,2.5,5.0,400.0,20.0,False,False
breakfast_burrito (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.6,2.64,20.0,2.4,4.96,400.0,20.0,False,False
breakfast_burrito (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.6,2.64,20.0,2.4,5.01,400.0,20.0,False,False
breakfast_burrito (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.67,2.67,20.0,2.33,5.0,400.0,20.0,False,False
breakfast_burrito (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.67,2.67,20.0,2.33,5.0,400.0,20.0,False,False
breakfast_burrito (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.43,2.57,20.0,2.29,5.03,400.0,20.0,False,False
breakfast_burrito (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.43,2.59,20.0,2.29,4.99,400.0,20.0,False,False
breakfast_burrito (Small Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.6,20.0,2.5,5.0,400.0,20.0,False,False
breakfast_burrito (Large Portion),"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.63,20.0,2.5,5.0,400.0,20.0,False,False
bruschetta (Small Portion),"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,4.8,400.0,12.0,False,False
bruschetta (Large Portion),"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.07,400.0,12.0,False,False
bruschetta (Small Portion),"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,5.71,8.57,3.14,30.0,1.43,5.14,400.0,11.4,False,False
bruschetta (Large Portion),"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,5.71,8.57,3.05,30.0,1.43,4.95,400.0,11.4,False,False
bruschetta (Small Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.0,400.0,12.0,False,False
bruschetta (Large Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.0,400.0,12.0,False,False
bruschetta (Small Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,5.83,8.33,3.0,30.0,1.67,5.0,400.0,11.7,False,False
bruschetta (Large Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,5.83,8.33,2.89,30.0,1.67,5.0,400.0,11.7,False,False
bruschetta (Small Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.07,400.0,12.0,False,False
bruschetta (Large Portion),"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,4.98,400.0,12.0,False,False
caesar_salad (Small Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.0,10.0,1.5,7.5,1.5,3.0,15.0,13.3,False,False
caesar_salad (Large Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.0,10.0,1.5,7.5,1.5,3.0,15.0,13.3,False,False
caesar_salad (Small Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.2,10.0,1.52,7.6,1.6,3.04,15.04,13.9,False,False
caesar_salad (Large Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.2,10.0,1.52,7.6,1.6,2.99,14.99,13.9,False,False
caesar_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.47,7.67,1.67,3.0,15.0,13.3,False,False
caesar_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.51,7.67,1.67,3.0,15.0,13.3,False,False
caesar_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.14,10.0,1.49,7.43,1.71,2.97,14.97,13.7,False,False
caesar_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.14,10.0,1.49,7.43,1.71,3.01,15.01,13.7,False,False
caesar_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.5,7.5,1.75,3.0,15.0,13.3,False,False
caesar_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.5,7.5,1.75,3.0,15.0,13.3,False,False
cannoli (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.57,20.0,10.0,50.0,1.43,40.0,150.0,8.6,False,False
cannoli (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.57,20.0,10.0,50.0,1.43,40.0,150.0,8.6,False,False
cannoli (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.33,20.0,10.0,50.0,1.67,40.0,150.0,8.3,False,False
cannoli (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.33,20.0,10.0,50.0,1.67,40.0,150.0,8.3,False,False
cannoli (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
caprese_salad (Small Portion),Vegetables,Flexible,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.47,6.67,1.33,2.93,14.93,16.0,False,False
caprese_salad (Large Portion),Vegetables,Flexible,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.47,6.67,1.33,3.02,15.02,16.0,False,False
caprese_salad (Small Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.5,5.5,10.0,1.5,6.5,1.5,3.0,15.0,16.5,False,False
caprese_salad (Large Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.5,5.5,10.0,1.5,6.5,1.5,3.0,15.0,16.5,False,False
caprese_salad (Small Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.2,5.2,10.0,1.52,6.8,1.6,3.04,15.04,15.6,False,False
caprese_salad (Large Portion),Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.2,5.2,10.0,1.52,6.8,1.6,2.99,14.99,15.6,False,False
caprese_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.47,6.67,1.67,3.0,15.0,16.0,False,False
caprese_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.51,6.67,1.67,3.0,15.0,16.0,False,False
caprese_salad (Small Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.43,5.43,10.0,1.49,6.57,1.71,2.97,14.97,16.3,False,False
caprese_salad (Large Portion),Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.43,5.43,10.0,1.49,6.57,1.71,3.01,15.01,16.3,False,False
carrot_cake (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.07,45.33,2.0,40.0,150.0,4.6,False,False
carrot_cake (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,8.98,45.33,2.0,40.0,150.0,4.6,False,False
carrot_cake (Small Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake (Large Portion),"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake (Small Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,350.0,4.0,18.0,8.96,45.2,2.0,40.0,150.0,4.6,False,False
carrot_cake (Large Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,350.0,4.0,18.0,9.01,45.2,2.0,40.0,150.0,4.6,False,False
carrot_cake (Small Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake (Large Portion),"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
ceviche (Small Portion),"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.33,13.33,3.33,0.67,6.67,1.33,0.0,80.0,40.0,False,False
ceviche (Large Portion),"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.33,13.33,3.33,0.67,6.67,1.33,0.0,80.0,40.0,False,False
